gpu,model,task,conc,rate,realized_bw,mbu,jbyte_direct,tok_s,p_avg,idle,weight_bytes_per_bin,run_dir
H200,Qwen2.5-7B-Instruct,alpaca,,8.0,2327671603545.4204,0.4849315840719626,1.1830504768060353e-10,1731.1784250637234,391.7763401727862,116.407,460630655107.29614,logs/ragged_ladder/Qwen2.5-7B-Instruct/alpaca_poisson8
H200,Qwen2.5-7B-Instruct,sharegpt,1,,2427951308735.956,0.5058231893199908,1.0666525796892063e-10,170.8385380462999,375.38707690602837,116.407,483333440528.63434,logs/ragged_ladder/Qwen2.5-7B-Instruct/sharegpt_c1
H200,Qwen2.5-7B-Instruct,sharegpt,16,,2211333132225.7036,0.4606944025470216,1.322929442686861e-10,2401.7637560882467,408.9577036635595,116.407,432262643534.4828,logs/ragged_ladder/Qwen2.5-7B-Instruct/sharegpt_c16
H200,Qwen2.5-7B-Instruct,sharegpt,4,,2357499598298.371,0.49114574964549396,1.119138614465696e-10,657.6466313917304,380.1930714442253,116.407,468676577292.5764,logs/ragged_ladder/Qwen2.5-7B-Instruct/sharegpt_c4
H200,Qwen2.5-7B-Instruct,sharegpt,64,,1859407258986.0027,0.3873765122887506,2.07140591561719e-10,7582.177725230227,501.63182213184933,116.407,343405284340.42554,logs/ragged_ladder/Qwen2.5-7B-Instruct/sharegpt_c64
H200,Qwen2.5-7B-Instruct,sharegpt,,8.0,2224180583166.3325,0.4633709548263193,1.2693878061551517e-10,1794.1295280806905,398.7601832291442,116.407,437508070815.4506,logs/ragged_ladder/Qwen2.5-7B-Instruct/sharegpt_poisson8
B200,Mistral-7B-v0.1,alpaca,1,,2468977020530.1465,0.30862212756626833,1.2284033701033766e-10,172.69804272530254,541.1259646309314,237.822,491331346331.87775,logs/B200/Mistral-7B-v0.1/alpaca_c1
B200,Mistral-7B-v0.1,alpaca,16,,2275254128580.8003,0.2844067660726,1.3455564568529097e-10,2458.985157676028,543.9702422400694,237.822,444353429870.1299,logs/B200/Mistral-7B-v0.1/alpaca_c16
B200,Mistral-7B-v0.1,alpaca,4,,2327298134730.307,0.2909122668412884,1.2579056334925756e-10,642.4498299144745,530.574239982766,237.822,462206117167.38196,logs/B200/Mistral-7B-v0.1/alpaca_c4
B200,Mistral-7B-v0.1,alpaca,64,,2119633062684.6765,0.26495413283558455,1.7912607690255084e-10,8490.686147155076,617.5047210098417,237.822,386696050000.0,logs/B200/Mistral-7B-v0.1/alpaca_c64
